end,total_shot_number,shot_number,shooter_team,team0_stones,team1_stones,translational_velocity,angular_velocity,shot_angle
5,16,8,team1,1,7,2.398413327616752,-1.570796327,1.5165926849160096
6,1,0,team0,1,0,2.401298947794935,-15.707963267948966,1.517234954672475
6,2,1,team1,1,1,2.3924555388493935,-1.570796327,1.5157722093547312
6,3,1,team0,2,1,2.3817682091276215,15.707963267948966,1.632322797886791
6,4,2,team1,2,2,2.3917755340550895,-1.570796327,1.5144184471274382
6,5,2,team0,3,2,2.4091035733948614,15.707963267948966,1.6290191110653303
6,6,3,team1,3,3,2.3905397969176767,-1.570796327,1.5168131741593134
6,7,3,team0,4,3,2.4014482544766,15.707963267948966,1.6254667019350655
6,8,4,team1,4,4,2.3926492527372383,-1.570796327,1.5177677234853675
6,9,4,team0,5,4,2.3936906404908362,15.707963267948966,1.6263208933503506
6,10,5,team1,5,5,2.412294472406711,-1.570796327,1.5148836594855524
6,11,5,team0,4,2,3.998862879698311,0.0001,1.5682076306996502
6,12,6,team1,4,3,2.398781915229723,-1.570796327,1.51263424411165
6,13,6,team0,3,1,3.98902065378961,0.0001,1.580903029618943
6,14,7,team1,3,2,2.3982639842954954,-1.570796327,1.5157434234927174
6,15,7,team0,3,2,3.994555265292403,0.0001,1.572333231065481
6,16,8,team1,3,3,2.3973227929063468,-1.570796327,1.518176958996507
7,1,0,team0,1,0,2.4072470952400176,-15.707963267948966,1.5150393058182232
7,2,1,team1,1,1,2.40035613853249,-1.570796327,1.514483704686912
7,3,1,team0,1,1,3.99937819777689,0.0001,1.5670612433749715
7,4,2,team1,1,2,2.403307198985246,-1.570796327,1.5152070614632156
7,5,2,team0,1,2,3.9950269390715265,0.0001,1.5702882879550242
7,6,3,team1,1,3,2.398726079008557,-1.570796327,1.5179252774211152
7,7,3,team0,1,3,4.0034482730395125,0.0001,1.571092462584997
7,8,4,team1,1,4,2.3860892463237295,-1.570796327,1.518375586339707
7,9,4,team0,1,4,3.997081266967495,0.0001,1.5711310803738945
7,10,5,team1,1,5,2.4055233845716604,-1.570796327,1.5151627069633695
7,11,5,team0,1,3,4.009296599426256,0.0001,1.5719719376179757
7,12,6,team1,1,4,2.410886888506219,-1.570796327,1.5162175288242983
7,13,6,team0,0,4,4.005004287992575,0.0001,1.5713842696801388
7,14,7,team1,0,5,2.397530901549742,-1.570796327,1.51560086423413
7,15,7,team0,0,4,3.99520096558141,0.0001,1.572013286469073
7,16,8,team1,0,5,2.406098812624448,-1.570796327,1.5146222046000808
8,1,0,team0,1,0,2.392252455583322,-15.707963267948966,1.5126849789557353
8,2,1,team1,1,1,2.3764273083730023,-1.570796327,1.5174450371017478
8,3,1,team0,2,1,2.395853642980721,-15.707963267948966,1.5117493576720815
8,4,2,team1,2,2,2.406727234424715,-1.570796327,1.5133178797648994
8,5,2,team0,3,2,2.4132406307159813,15.707963267948966,1.6317175701994684
8,6,3,team1,3,3,2.38737098899567,-1.570796327,1.5165346270782178
8,7,3,team0,4,3,2.401422213682097,15.707963267948966,1.6333769046904125
8,8,4,team1,4,4,2.4101361008693005,-1.570796327,1.5163718454497412
8,9,4,team0,5,4,2.3887212535466387,-15.707963267948966,1.5080751791273772
8,10,5,team1,5,5,2.390624349743158,-1.570796327,1.5187188683339599
8,11,5,team0,6,5,2.395618662277276,-15.707963267948966,1.5072387946163912
8,12,6,team1,6,6,2.3965248110990522,-1.570796327,1.5138475499439736
8,13,6,team0,7,6,2.3985140386402573,-15.707963267948966,1.50820372251284
8,14,7,team1,7,7,2.4135162303551962,-1.570796327,1.5168025756145345
8,15,7,team0,5,5,3.9853806297772585,0.0001,1.5709691733789337
8,16,8,team1,5,6,2.399924305524349,-1.570796327,1.517293270169577
9,1,0,team0,1,0,2.412684510208638,-15.707963267948966,1.5125545884356046
9,2,1,team1,1,1,2.390036089454969,-1.570796327,1.513992999159751
9,3,1,team0,2,1,2.4102053977835363,-15.707963267948966,1.512145444884021
9,4,2,team1,2,2,2.397011794553808,-1.570796327,1.5198961483651596
9,5,2,team0,1,2,3.992993536137101,0.0001,1.5731682585804194
9,6,3,team1,1,3,2.3895542215943397,-1.570796327,1.515773118094518
9,7,3,team0,1,2,3.9814063484658386,0.0001,1.5774645608239222
9,8,4,team1,1,3,2.3897965648276553,-1.570796327,1.5196205508750105
9,9,4,team0,1,2,3.996661074219682,0.0001,1.5749304752968114
9,10,5,team1,1,3,2.3974254784361433,-1.570796327,1.5174998627107517
9,11,5,team0,0,3,4.005796959266365,0.0001,1.5715220350841907
9,12,6,team1,0,4,2.3834671940872516,-1.570796327,1.515786494038703
9,13,6,team0,0,4,3.99555657328415,0.0001,1.5721272793431107
9,14,7,team1,0,5,2.4048296296026277,-1.570796327,1.5175152540897565
9,15,7,team0,0,5,4.004912223101581,0.0001,1.570971780521676
9,16,8,team1,0,6,2.375639789806781,-1.570796327,1.51762646172593
