idx,ts,shooter,tv,av,sa,team0_house,team1_house,team0_score,team1_score
63,2026-02-25T17:00:03.120,unknown,2.4340474780497376,1.5707963267948966,1.57321623792287,0,0,,
64,2026-02-25T17:00:03.168,team1,2.401235888271952,15.707963267948966,0.05195206457932508,0,0,,
65,2026-02-25T17:00:03.231,team0,2.43107232467796,1.5707963267948966,1.5695034578402405,0,0,,
66,2026-02-25T17:00:03.262,team1,2.3990460616534164,15.707963267948966,0.05744197644946233,0,0,,
67,2026-02-25T17:00:03.326,team0,2.420548056713438,1.5707963267948966,1.5690272657524502,0,0,,
68,2026-02-25T17:00:03.358,team1,2.3997795556871755,15.707963267948966,0.05884418988585379,0,0,,
69,2026-02-25T17:00:03.429,team0,2.418830775608966,1.5707963267948966,1.5731055087215637,0,0,,
70,2026-02-25T17:00:03.462,team1,2.3972903046097076,15.707963267948966,0.05666989455664659,0,0,,
71,2026-02-25T17:00:03.529,team0,2.425556081259279,1.5707963267948966,1.5677948190211906,0,0,,
72,2026-02-25T17:00:03.560,team1,2.4055954461989564,15.707963267948966,0.05351905909083654,0,0,,
73,2026-02-25T17:00:03.639,team0,2.4068157151688685,1.5707963267948966,1.57228101610811,0,0,,
74,2026-02-25T17:00:03.688,team1,2.3978867624711,15.707963267948966,0.0527342648135845,0,0,,
75,2026-02-25T17:00:03.761,team0,2.421640004415472,1.5707963267948966,1.5711235927261031,0,0,,
76,2026-02-25T17:00:03.794,team1,2.4093506026338565,15.707963267948966,0.05415783213999063,0,0,,
77,2026-02-25T17:00:03.862,team0,2.4250868759521205,1.5707963267948966,1.57197478771993,0,0,,
78,2026-02-25T17:00:03.895,team1,2.3979702871014204,15.707963267948966,0.055205209123500715,0,0,,
79,2026-02-25T17:00:03.967,unknown,2.4195184031040107,1.5707963267948966,1.5680534279793823,0,0,,
80,2026-02-25T17:00:04.014,team1,2.4151724486367865,15.707963267948966,0.055954692598520844,0,0,,
81,2026-02-25T17:00:04.077,team0,2.4202101825214433,1.5707963267948966,1.5671495791223446,0,0,,
82,2026-02-25T17:00:04.109,team1,2.3985530317502373,15.707963267948966,0.05475080711390954,0,0,,
83,2026-02-25T17:00:04.176,team0,2.4303317119910535,1.5707963267948966,1.571950378489033,0,0,,
84,2026-02-25T17:00:04.211,team1,2.4048532106568974,15.707963267948966,0.05171886631807556,0,0,,
85,2026-02-25T17:00:04.280,team0,2.4186847659322406,1.5707963267948966,1.5721849456912984,0,0,,
86,2026-02-25T17:00:04.312,team1,2.3968242769149644,15.707963267948966,0.05100555306760712,0,0,,
87,2026-02-25T17:00:04.377,team0,2.4058333290268066,1.5707963267948966,1.5681290750518424,0,0,,
88,2026-02-25T17:00:04.408,team1,2.383814710504663,15.707963267948966,0.05597102261942774,0,0,,
89,2026-02-25T17:00:04.478,team0,2.432991349699034,1.5707963267948966,1.5718214275830233,0,0,,
90,2026-02-25T17:00:04.508,team1,2.4134904848472853,15.707963267948966,0.05479563958911506,0,0,,
91,2026-02-25T17:00:04.577,team0,2.4196582234227373,1.5707963267948966,1.571166987292015,0,0,,
92,2026-02-25T17:00:04.609,team1,2.4031963584104963,15.707963267948966,0.05381247437489353,0,0,,
93,2026-02-25T17:00:04.681,team0,2.4207685384270197,1.5707963267948966,1.5725813714863257,0,0,,
94,2026-02-25T17:00:04.733,team1,2.394073819620512,15.707963267948966,0.05375147992743946,0,0,,
95,2026-02-25T17:00:04.852,unknown,2.412820987502104,1.5707963267948966,1.5704296098466781,0,0,,
96,2026-02-25T17:00:04.910,team1,2.39362213082639,15.707963267948966,0.05527511970245747,0,0,,
97,2026-02-25T17:00:04.975,team0,2.417287970167731,1.5707963267948966,1.5677111500896703,0,0,,
98,2026-02-25T17:00:05.010,team1,2.419777688664646,15.707963267948966,0.052992936461179356,0,0,,
99,2026-02-25T17:00:05.091,team0,2.4111987225388374,1.5707963267948966,1.5707491317756077,0,0,,
100,2026-02-25T17:00:05.128,team1,2.401668475587179,15.707963267948966,0.05541482245163057,0,0,,
101,2026-02-25T17:00:05.196,team0,2.41046942649849,1.5707963267948966,1.570840269453837,0,0,,
102,2026-02-25T17:00:05.229,team1,2.38763263751405,15.707963267948966,0.05458645413921688,0,0,,
103,2026-02-25T17:00:05.294,team0,2.423766117564887,1.5707963267948966,1.5680518097413798,0,0,,
104,2026-02-25T17:00:05.328,team1,2.3966617132927466,15.707963267948966,0.05655272051419367,0,0,,
105,2026-02-25T17:00:05.393,team0,2.417852494989061,1.5707963267948966,1.5712690981848763,0,0,,
106,2026-02-25T17:00:05.425,team1,2.403366552000423,15.707963267948966,0.05258896578894156,0,0,,
107,2026-02-25T17:00:05.492,team0,2.405573449627451,1.5707963267948966,1.5696822963850745,0,0,,
108,2026-02-25T17:00:05.528,team1,2.4006088864718045,15.707963267948966,0.05716637449139719,0,0,,
109,2026-02-25T17:00:05.591,team0,2.428052054228096,1.5707963267948966,1.569998352604446,0,0,,
110,2026-02-25T17:00:05.625,team1,2.4106566590777314,15.707963267948966,0.05531950229649061,0,0,,
111,2026-02-25T17:00:05.692,unknown,2.4262424878083113,1.5707963267948966,1.5691623277005124,0,0,,
112,2026-02-25T17:00:05.754,team1,2.4120736362336617,15.707963267948966,0.05974515402622054,0,0,,
113,2026-02-25T17:00:05.827,team0,2.4112422793411548,1.5707963267948966,1.5707010026169093,0,0,,
114,2026-02-25T17:00:05.861,team1,2.393471697781273,15.707963267948966,0.05380966669123812,0,0,,
115,2026-02-25T17:00:05.929,team0,2.403016988547167,1.5707963267948966,1.5711383511465369,0,0,,
116,2026-02-25T17:00:05.960,team1,2.41366275544744,15.707963267948966,0.0530114104045119,0,0,,
117,2026-02-25T17:00:06.029,team0,2.4120817663683902,1.5707963267948966,1.5693294390620929,0,0,,
118,2026-02-25T17:00:06.061,team1,2.4035822475925803,15.707963267948966,0.0538321469130379,0,0,,
119,2026-02-25T17:00:06.133,team0,2.42994968983898,1.5707963267948966,1.5746033436822702,0,0,,
120,2026-02-25T17:00:06.165,team1,2.404027296151663,15.707963267948966,0.053903555022631874,0,0,,
121,2026-02-25T17:00:06.237,team0,2.42565042450828,1.5707963267948966,1.5731771561039083,0,0,,
122,2026-02-25T17:00:06.269,team1,2.392122213825123,15.707963267948966,0.05467267776230169,0,0,,
123,2026-02-25T17:00:06.338,team0,2.412788482570188,1.5707963267948966,1.5738597805633885,0,0,,
124,2026-02-25T17:00:06.378,team1,2.4067689303654607,15.707963267948966,0.0583338125961784,0,0,,
125,2026-02-25T17:00:06.451,team0,2.4239096492856653,1.5707963267948966,1.571535670193497,0,0,,
126,2026-02-25T17:00:06.482,team1,2.4112737280279655,15.707963267948966,0.05707655472923593,0,0,,
127,2026-02-25T17:00:06.553,unknown,2.430537364114482,1.5707963267948966,1.570039361839199,0,0,,
128,2026-02-25T17:00:06.598,team1,2.4016711865916323,15.707963267948966,0.05724095847496002,0,0,,
